HDI rank,Country,1990,,2000,,2010,,2015,,2018,,2019,,2020,,2021,,2015-2021,a,1990-2000,,2000-2010,,2010-2021,,1990-2021,
1,Switzerland,0.851,,0.887,,0.942,,0.954,,0.959,,0.962,,0.956,,0.962,,0,,0.42,,0.60,,0.19,,0.40,
2,Norway,0.838,,0.913,,0.941,,0.953,,0.962,,0.961,,0.959,,0.961,,0,,0.86,,0.30,,0.19,,0.44,
3,Iceland,0.811,,0.871,,0.902,,0.945,,0.959,,0.960,,0.957,,0.959,,0,,0.72,,0.35,,0.56,,0.54,
4,"Hong Kong, China (SAR)",0.788,,0.851,,0.907,,0.935,,0.949,,0.952,,0.949,,0.952,,3,,0.77,,0.64,,0.44,,0.61,
5,Australia,0.865,,0.896,,0.923,,0.933,,0.941,,0.941,,0.947,,0.951,,3,,0.35,,0.30,,0.27,,0.31,
6,Denmark,0.834,,0.889,,0.913,,0.936,,0.942,,0.946,,0.947,,0.948,,0,,0.64,,0.27,,0.34,,0.41,
7,Sweden,0.810,,0.904,,0.910,,0.937,,0.942,,0.947,,0.942,,0.947,,-2,,1.10,,0.07,,0.36,,0.51,
8,Ireland,0.737,,0.847,,0.904,,0.925,,0.937,,0.942,,0.943,,0.945,,6,,1.40,,0.65,,0.40,,0.81,
9,Germany,0.829,,0.889,,0.926,,0.938,,0.945,,0.948,,0.944,,0.942,,-5,,0.70,,0.41,,0.16,,0.41,
10,Netherlands,0.847,,0.893,,0.917,,0.932,,0.939,,0.943,,0.939,,0.941,,-1,,0.53,,0.27,,0.24,,0.34,
11,Finland,0.814,,0.891,,0.911,,0.930,,0.936,,0.939,,0.938,,0.940,,0,,0.91,,0.22,,0.29,,0.47,
12,Singapore,0.727,,0.831,,0.910,,0.930,,0.940,,0.943,,0.939,,0.939,,-1,,1.35,,0.91,,0.29,,0.83,
13,Belgium,0.816,,0.887,,0.912,,0.924,,0.933,,0.936,,0.928,,0.937,,2,,0.84,,0.28,,0.25,,0.45,
13,New Zealand,0.806,,0.887,,0.922,,0.931,,0.936,,0.937,,0.936,,0.937,,-3,,0.96,,0.39,,0.15,,0.49,
15,Canada,0.860,,0.890,,0.911,,0.926,,0.933,,0.937,,0.931,,0.936,,-2,,0.34,,0.23,,0.25,,0.27,
16,Liechtenstein,..,,0.873,,0.913,,0.924,,0.928,,0.940,,0.933,,0.935,,-1,,..,,0.45,,0.22,,..,
17,Luxembourg,0.786,,0.864,,0.912,,0.915,,0.922,,0.927,,0.924,,0.930,,3,,0.95,,0.54,,0.18,,0.54,
18,United Kingdom,0.804,,0.862,,0.912,,0.924,,0.929,,0.935,,0.924,,0.929,,-3,,0.70,,0.57,,0.17,,0.47,
19,Japan,0.845,,0.877,,0.898,,0.918,,0.923,,0.924,,0.923,,0.925,,0,,0.37,,0.24,,0.27,,0.29,
19,Korea (Republic of),0.737,,0.825,,0.890,,0.909,,0.919,,0.923,,0.922,,0.925,,3,,1.13,,0.76,,0.35,,0.74,
